Polling firm,Last day of survey,Source,CPC,LPC,NDP,BQ,GPC,ME
Polling firm,Last day of survey,Source,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,ME
Strategic Counsel,"May 10, 2009",[284],30.0,35.0,16.0,9.0,11.0,
Harris-Decima,"May 3, 2009",[285],29.0,34.0,15.0,9.0,11.0,
Nanos Research,"April 30, 2009",[286],33.0,36.0,15.0,9.0,7.0,
Ipsos Reid,"April 30, 2009",[287],33.0,36.0,13.0,9.0,8.0,
Angus Reid Strategies,"April 22, 2009",[288],33.0,33.0,15.0,10.0,6.0,
Harris-Decima,"April 19, 2009",[289],29.0,32.0,16.0,9.0,11.0,
EKOS Research Associates,"April 13, 2009",[290],30.2,36.7,15.5,9.4,8.1,
Strategic Counsel,"April 5, 2009",[291],32.0,34.0,15.0,10.0,9.0,
Leger Marketing,"March 23, 2009",[292],34.0,35.0,14.0,9.0,6.0,
Nanos Research,"March 18, 2009",[293],33.0,36.0,13.0,10.0,8.0,
Angus Reid Strategies,"March 11, 2009",[294],35.0,31.0,16.0,10.0,7.0,
Harris-Decima,"March 8, 2009",[295],32.0,33.0,14.0,9.0,10.0,
Strategic Counsel,"March 8, 2009",[296],35.0,31.0,16.0,9.0,10.0,
Ipsos Reid,"March 5, 2009",[297],37.0,33.0,12.0,10.0,8.0,
Harris-Decima,"February 15, 2009",[295],33.0,33.0,15.0,10.0,7.0,
Strategic Counsel,"February 8, 2009",[298],32.0,33.0,17.0,5.0,13.0,
Harris-Decima,"February 8, 2009",[299],33.0,31.0,15.0,10.0,10.0,
Ipsos Reid,"February 7, 2009",[300],37.0,31.0,14.0,10.0,7.0,
Nanos Research,"February 3, 2009",[301],34.0,33.0,16.0,10.0,7.0,
Angus Reid Strategies,"January 27, 2009",[302],38.0,29.0,18.0,8.0,6.0,
EKOS Research Associates,"January 17, 2009",[303],36.2,32.6,14.3,7.9,9.1,
Angus Reid Strategies,"January 15, 2009",[304],39.0,30.0,17.0,9.0,5.0,
Strategic Counsel,"January 14, 2009",[305],36.0,29.0,18.0,8.0,8.0,
Ipsos Reid,"January 8, 2009",[306],39.0,28.0,15.0,9.0,9.0,
Nanos Research,"January 7, 2009",[307],33.0,34.0,19.0,7.0,7.0,
COMPAS,"December 23, 2008",[308],43.0,30.0,13.0,6.0,8.0,
Angus Reid Strategies,"December 12, 2008",[309],37.0,31.0,15.0,9.0,8.0,
Ipsos Reid,"December 11, 2008",[310],45.0,26.0,12.0,10.0,7.0,
Angus Reid Strategies,"December 6, 2008",[311],42.0,22.0,18.0,10.0,7.0,
Praxicus Public Strategies,"December 4, 2008",[312],47.0,24.0,14.0,8.0,8.0,
COMPAS,"December 4, 2008",[313],51.0,20.0,10.0,8.0,6.0,
EKOS Research Associates,"December 4, 2008",[314],42.2,23.6,15.0,10.2,9.0,
Strategic Counsel,"December 3, 2008",[315],45.0,24.0,14.0,10.0,8.0,
Ipsos Reid,"December 3, 2008",[316],46.0,23.0,13.0,9.0,8.0,
EKOS Research Associates,"December 3, 2008",[317],44.0,24.1,14.5,9.2,8.1,
Nanos Research,"November 15, 2008",[318],32.0,30.0,20.0,9.0,10.0,
Election 2008,"October 14, 2008",[319],37.6,26.2,18.2,10.0,6.8,
