country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
uk,2010,uk_2010_table14.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,8.0304322302332,14.009728504866882,CON|LAB|LIB
uk,2010,uk_2010_table14.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,6.127574117017546,6.427281016009239,CON|LAB|LIB
uk,2010,uk_2010_table15.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,7.363765563566535,14.009728504866882,CON|LAB|LIB
uk,2010,uk_2010_table15.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,2.3942407836842143,3.90972850486688,CON|LAB|LIB
uk,2010,uk_2010_table16.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,4,3,18.563765563566534,33.65428716982348,CON|LAB|LIB
uk,2010,uk_2010_table16.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,5,3,21.79709889689987,29.054287169823482,CON|LAB|LIB
uk,2010,uk_2010_table17.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,5,3,8.363765563566535,12.154287169823483,CON|LAB|LIB
uk,2010,uk_2010_table17.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,5,3,7.223946560321948,12.354287169823483,CON|LAB|LIB
uk,2010,uk_2010_table18.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,9.2304322302332,19.80972850486688,CON|LAB|LIB
uk,2010,uk_2010_table18.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,3,3,7.594240783684213,9.745712830176515,CON|LAB|LIB
uk,2010,uk_2010_table19.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,4,3,24.030432230233203,31.709728504866884,CON|LAB|LIB
uk,2010,uk_2010_table19.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,4,3,27.397098896899866,32.60972850486688,CON|LAB|LIB
uk,2010,uk_2010_table20.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,2,0,,,
uk,2010,uk_2010_table20.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,5,3,28.463765563566536,39.30972850486688,CON|LAB|LIB
uk,2010,uk_2010_table21.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,4,3,20.730432230233202,28.95428716982348,CON|LAB|LIB
uk,2010,uk_2010_table21.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,4,3,25.8304322302332,33.30972850486688,CON|LAB|LIB
uk,2010,uk_2010_table22.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,5,3,8.5304322302332,15.90972850486688,CON|LAB|LIB
uk,2010,uk_2010_table22.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,5,3,3.894240783684213,4.72728101600924,CON|LAB|LIB
uk,2010,uk_2010_table6.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,3,3,3.4637655635665348,7.209728504866884,CON|LAB|LIB
uk,2010,uk_2010_table9.csv,5 May 2005,5 May 2005 | 2005 general election,historical_other_year,4,3,10.397098896899868,20.25428716982348,CON|LAB|LIB
uk,2010,uk_2010_table9.csv,6 May 2010,6 May 2010 | 2010 general election,explicit_current_year,4,3,12.163765563566535,19.354287169823483,CON|LAB|LIB
uk,2015,uk_2015_table2.csv,7 May 2015,7 May 2015 | 2015 general election[a],explicit_current_year,5,3,0.6569408825847208,0.9904884840064341,CON|LAB|LIB
uk,2015,uk_2015_table7.csv,6 May 2010,6 May 2010 | 2010 general election[a],historical_other_year,5,3,5.523339639487762,15.729932299102291,CON|LAB|LIB
uk,2017,uk_2017_table1.csv,8 Jun 2017,8 Jun 2017 | 2017 general election[a],explicit_current_year,6,3,0.8007142425965513,1.1555518376121583,CON|LAB|LIB
uk,2017,uk_2017_table10.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,8.273726983218493,17.04444816238784,CON|LAB|LIB
uk,2017,uk_2017_table10.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,8.740393649885162,15.511661838722567,CON|LAB|LIB
uk,2017,uk_2017_table11.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,5.540393649885161,11.144448162387842,CON|LAB|LIB
uk,2017,uk_2017_table11.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,7.673726983218491,14.911661838722566,CON|LAB|LIB
uk,2017,uk_2017_table12.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,3.6326190907367812,9.74444816238784,CON|LAB|LIB
uk,2017,uk_2017_table12.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,4.407060316551827,9.011661838722567,CON|LAB|LIB
uk,2017,uk_2017_table13.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,3.769653649144887,8.388338161277431,CON|LAB|LIB
uk,2017,uk_2017_table13.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,3.9774282082932664,8.355551837612161,CON|LAB|LIB
uk,2017,uk_2017_table14.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,3.1659524240701167,7.088338161277434,CON|LAB|LIB
uk,2017,uk_2017_table14.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,4.044094874959932,6.655551837612158,CON|LAB|LIB
uk,2017,uk_2017_table15.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,8.492939683448173,17.988338161277433,CON|LAB|LIB
uk,2017,uk_2017_table15.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,6.692939683448174,12.25555183761216,CON|LAB|LIB
uk,2017,uk_2017_table16.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,3.830346350855114,7.444448162387843,CON|LAB|LIB
uk,2017,uk_2017_table16.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,8.363679684188446,14.511661838722567,CON|LAB|LIB
uk,2017,uk_2017_table17.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,10.726273016781505,21.688338161277432,CON|LAB|LIB
uk,2017,uk_2017_table17.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,8.926273016781506,12.25555183761216,CON|LAB|LIB
uk,2017,uk_2017_table18.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,11.392939683448175,22.288338161277434,CON|LAB|LIB
uk,2017,uk_2017_table18.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,3,9.192939683448172,10.888338161277431,CON|LAB|LIB
uk,2017,uk_2017_table19.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,3,3,5.402986982478221,10.055551837612157,CON|LAB|LIB
uk,2017,uk_2017_table19.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,3,3,2.4636796841884454,5.911661838722566,CON|LAB|LIB
uk,2017,uk_2017_table20.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,12.265952424070115,19.54444816238784,CON|LAB|LIB
uk,2017,uk_2017_table20.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,4,2,18.166393161832637,23.144448162387842,CON|LAB
uk,2017,uk_2017_table21.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,9.799285757403448,24.84444816238784,CON|LAB|LIB
