country,election_year,source_table,poll_party_rows,party_count,party_signature,marker_candidate_count,best_marker_date_raw,best_marker_relevance,national_overlap_parties,marker_mae,marker_max_abs_error,scope_status,scope_reason
uk,2017,uk_2017_table4.csv,54,6,CON|GRN|LAB|LD|SNP|UKIP,1,8 Jun 2017,explicit_current_year,3,0.8007142425965513,1.1555518376121583,approved_marker_match,election marker closely matches national actual results
uk,2017,uk_2017_table10.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,8.740393649885162,15.511661838722567,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table11.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,7.673726983218491,14.911661838722566,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table12.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,4.407060316551827,9.011661838722567,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table13.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,3.9774282082932664,8.355551837612161,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table14.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,4.044094874959932,6.655551837612158,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table15.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,6.692939683448174,12.25555183761216,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table16.csv,45,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,8.363679684188446,14.511661838722567,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table17.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,8.926273016781506,12.25555183761216,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table18.csv,15,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,9.192939683448172,10.888338161277431,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table20.csv,14,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,2,18.166393161832637,23.144448162387842,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table21.csv,14,5,CON|GRN|LAB|LD|SNP,2,8 Jun 2017,explicit_current_year,3,14.007060316551827,22.644448162387842,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table23.csv,11,4,CON|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,9.792939683448173,16.25555183761216,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table7.csv,110,6,CON|GRN|LAB|LD|SNP|UKIP,2,8 Jun 2017,explicit_current_year,3,9.065952424070113,13.74444816238784,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table8.csv,101,6,CON|GRN|LAB|LD|PC|UKIP,2,8 Jun 2017,explicit_current_year,3,6.840393649885159,8.911661838722566,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2017,uk_2017_table19.csv,9,3,CON|LAB|LD,2,8 Jun 2017,explicit_current_year,3,2.4636796841884454,5.911661838722566,review,marker comparison is inconclusive
uk,2017,uk_2017_table2.csv,474,5,CON|GRN|LAB|LD|UKIP,0,,,0,,,review,no usable current-cycle election marker
uk,2017,uk_2017_table22.csv,14,5,CON|GRN|LAB|LD|UKIP,2,8 Jun 2017,explicit_current_year,3,2.397013017521779,4.834929051454928,review,marker comparison is inconclusive
uk,2017,uk_2017_table3.csv,258,6,CON|GRN|LAB|LD|SNP|UKIP,1,,,0,,,review,no usable current-cycle election marker
uk,2017,uk_2017_table9.csv,25,5,DUP|GPNI|SDLP|SF|UUP,2,8 Jun 2017,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
uk,2019,uk_2019_table2.csv,1713,7,BRX|CON|GRN|LAB|LD|PC|SNP,1,12 Dec 2019,explicit_current_year,3,0.3837362546285572,0.5240675595854469,approved_marker_match,election marker closely matches national actual results
uk,2019,uk_2019_table11.csv,52,5,CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,10.334357881571597,16.023359418706313,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table12.csv,27,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,6.831836691175653,10.523359418706313,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table13.csv,27,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,7.998503357842317,14.32335941870631,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table14.csv,27,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,3.6318366911756503,6.723359418706309,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table15.csv,27,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,5.098975451761738,11.27406755958544,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table16.csv,27,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,5.114548397565945,9.874067559585441,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table17.csv,22,6,BRX|CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,7.66816330882435,13.574067559585444,rejected_marker_mismatch,election marker materially differs from national actual results
uk,2019,uk_2019_table18.csv,19,5,CON|GRN|LAB|LD|UKIP,2,12 Dec 2019,explicit_current_year,3,9.101496642157683,10.574067559585444,rejected_marker_mismatch,election marker materially differs from national actual results
